Data   	 Horas Trabalhadas       Tipo Tarefa                     Descrição da Tarefa Realizada

01/04  		 1                  	  exemplo e modelo         realização do exemplo e modelo estrutural
 
04/04  		 1                  	  arquitetura       	     realização da arquitetura

10/04   	 1                      funções de acesso         definição das funções de acesso

15/04  		 1.5                   revisão e correção         correção das funções de acesso

17/04  		 3                  	  codificar                         codificação dos módulos de pilha de cartas

20/04  		 1	              testes		     testes de pilha de cartas

21/04		 3	         	  codificar		     codificação dos módulos de baralho
	
22/04	  	 1	              testes	   	     testes de baralho

24/04		 1	             correções		     correções dos módulos de pilha de cartas

27/04		 0.5		     assertivas		     realização das assertivas de entrada e saída
